ChEMBL_ID,SMILES,pIC50,Activity_Label
CHEMBL54014,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1,7.0,1
CHEMBL124054,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C,6.756961951313706,1
CHEMBL1243012,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2,7.3979400086720375,1
CHEMBL130458,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,7.846275695991716,1
CHEMBL120279,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=C(O)C(O)C(O)C(=O)O,8.0,1
CHEMBL54864,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2,6.54515513999149,1
CHEMBL53623,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2C,7.769551078621726,1
CHEMBL362049,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCOC1N2C,7.886056647693163,1
CHEMBL205895,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1N2C,7.886056647693163,1
CHEMBL426674,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1O2,7.668621084159213,1
CHEMBL1172913,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)(C)C1N2C.[Br-],7.835647144215563,1
CHEMBL556186,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N@@+](C)([O-])[C@@H]1N2C.Cl,6.7447274948966935,1
CHEMBL207777,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CO[C@@H](C1)O2,7.013228265733755,1
CHEMBL5414221,Cc1ccccc1NC1=C([N+](=O)[O-])C2(NN1)C(=O)Nc1c(C(F)(F)F)cccc12,4.770062314092066,0
CHEMBL5433082,Cc1ccccc1NC1=C([N+](=O)[O-])C2(NN1)C(=O)Nc1ccc(Br)cc12,4.380072289708532,0
CHEMBL5397824,Cc1ccccc1NC1=C([N+](=O)[O-])C2(NN1)C(=O)Nc1ccc([N+](=O)[O-])cc12,4.810229043653126,0
CHEMBL5573638,Cc1ccccc1Oc1ccc2nc3c(c(N)c2c1)CCC3.Cl,4.549442990581671,0
CHEMBL5092058,Cc1cn([C@H](C)CC#N)c(=O)c2cc(Cn3nc(C(F)F)cc3Cl)nn12,5.0,0
CHEMBL1084709,Cc1cn2cc(C(N)=O)ccc2[n+]1C.[I-],4.568636235841013,0
CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,4.301029995663981,0
CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,3.853871964321762,0
CHEMBL147793,Cc1n(C)cc[n+]1COC(C)C(C)(C)C.[Cl-],4.481486060122113,0
CHEMBL3343920,Cc1nc(C(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,6.815308569182402,1
CHEMBL3343885,Cc1nc(C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,7.033389013318065,1
CHEMBL186400,Cc1nc(N)ncc1-c1nnnn1-c1ccc(-c2ccccc2)cc1,4.568636235841013,0
CHEMBL1084790,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,7.920457143142827,1
CHEMBL542297,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1.Cl,7.920818753952375,1
CHEMBL1084275,Cc1nc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc2s1,8.168740075678823,1
CHEMBL542543,Cc1nc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc2s1.Cl,8.167491087293763,1
CHEMBL376012,Cc1nccc2c1[nH]c1ccc(O)cc12,5.0,0
CHEMBL12014,Cc1nccc2c1[nH]c1ccccc12,5.0,0
CHEMBL220849,Cc1nccc2c3cc(O)ccc3n(C)c12,5.0,0
CHEMBL5572120,Cc1noc(-c2ccc(N)cc2)n1,6.982966660701219,1
CHEMBL278826,Cc1noc(/C=N/O)n1,3.0,0
CHEMBL2079593,Cc1noc(/C=N\O)n1,3.0,0
CHEMBL3215770,Cl.Cl.Cl.Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,7.301029995663981,1
CHEMBL3215769,Cl.Cl.Cl.Cl.O=C(NCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,7.603800652904264,1
CHEMBL3215768,Cl.Cl.Cl.Cl.O=C(NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,8.153044674980176,1
CHEMBL3215572,Cl.Cl.Cl.Cl.O=C(NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,7.73754891026957,1
CHEMBL3216429,Cl.Cl.Cl.Cl.O=C(NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,7.716698771296451,1
CHEMBL3215574,Cl.Cl.Cl.O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.853871964321762,1
CHEMBL3216221,Cl.Cl.Cl.O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.841637507904751,1
CHEMBL3215573,Cl.Cl.Cl.O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.954677021213342,1
CHEMBL3216018,Cl.Cl.Cl.O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.779891911959945,1
CHEMBL3216469,Cl.Cl.Cl.Oc1c(CNCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc(Cl)c2cccnc12,9.0,1
CHEMBL4559593,Cl.Cl.NC(Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,8.130768280269024,1
CHEMBL4466307,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.301029995663981,1
CHEMBL4456435,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,7.119186407719209,1
CHEMBL4555818,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.721246399047171,1
CHEMBL4559477,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,6.920818753952375,1
CHEMBL4556281,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,8.200315045651141,1
CHEMBL4540429,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,6.920818753952375,1
